No;Merek;Bibit
1;Garuda seed;Bayam hijau
2;Mestro;Bayam hijau
3;Bintang asia;Bayam hijau
4;Sumber makmur;Bayam hijau
5;Ta fung;Bayam hijau
6;Santosa;Bayam hijau
7;Jaya tani;Bayam hijau
8;Mestro;Bayam merah
9;Bintang asia;Bayam merah
10;Sumber makmur;Bayam merah
11;Garuda seed;Bayam merah
12;Mestro;Kacang Panjang
13;Bintang asia;Kacang Panjang
14;Sumber makmur;Kacang Panjang
15;Ta fung;Kacang Panjang
16;Santosa;Kacang Panjang
17;Mestro;Seledri
18;Sumber Makmur;Seledri
19;Ta fung;Seledri
20;Santosa;Seledri
21;Jaya tani;Seledri
22;Garuda seed;Kangkung
23;Mestro;Kangkung
24;Bintang asia;Kangkung
25;Ta fung;Kangkung
26;Jaya tani;Kangkung
27;Santosa;Kangkung
28;Sumber makmur;Kangkung
29;Garuda seed;Selada
30;Mestro;Selada
31;Bintang asia;Selada
32;Sumber makmur;Selada
33;Ta fung;Selada
34;Santosa;Selada
35;Jaya tani;Selada
36;Mestro;Selada
37;Ta fung;Sawi manis
38;Santosa;Sawi manis
39;Jaya tani;Sawi manis
40;Garuda seed;Sawi manis
41;Mestro;Sawi manis
42;Sumber makmur;Pakcoy
43;Ta fung;Pakcoy
44;Santosa;Pakcoy
45;Jaya tani;Pakcoy
46;Mestro;Pakcoy
47;Garuda seed;Cabai Merah
48;Mestro;Cabai Merah
49;Bintang asia;Cabai Merah
50;Sumber makmur;Cabai Merah
51;Ta fung;Cabai Merah
52;Santosa;Cabai Merah
53;Bintang asia;Brokoli
54;Sumber makmur;Brokoli
55;Ta fung;Brokoli
56;Santosa;Wortel
57;Jaya tani;Wortel
58;Garuda seed;Wortel
59;Sumber makmur;Wortel
60;Jawara;Wortel
61;Bruno;Brokoli
62;Garuda seed;Brokoli
63;Garuda seed;Kentang
64;Garuda seed;Bunga Kol
65;Mestro;Bunga Kol
66;Sumber makmur;Bunga Kol
67;Jawara;Bunga Kol
68;Bruno;Bunga Kol
69;Sumber makmur;Paprika merah
70;Jawara;Paprika merah
71;Bruno;Paprika merah
72;Garuda seed;Paprika merah
73;Sumber makmur;Sawi putih
74;Ta fung;Sawi putih
75;Santosa;Sawi putih
76;Jaya tani;Sawi putih
77;Jawara;Sawi putih
78;Permata baru ;Tomat
79;Bruno;Tomat
80;Sumber makmur;Tomat
81;Jaya tani;Tomat
82;Santosa;Tomat
83;Garuda seed;Kubis
84;Mestro;Kubis
85;Bintang asia;Kubis
86;Sumber makmur;Kubis
87;Ta fung;Kubis
88;Santosa;Kubis
89;Jaya tani;Kubis
90;Jawara;Kubis
91;Bruno;Kubis
92;Bintang asia;Kubis
93;Permata baru ;Mentimun
94;Bruno;Mentimun
95;Sumber makmur;Mentimun
96;Jaya tani;Mentimun
97;Santosa;Mentimun
98;Garuda seed;Mentimun
99;Jawara;Sawi pagoda
100;Bintang asia;Sawi pagoda
